FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
215404|Zoar Church|Church|DE|10|Sussex|005|383846N|0751750W|38.6462242|-75.2971353|||||11|36|Harbeson|10/01/1989|
215405|Kawan Acres|Populated Place|DE|10|Sussex|005|383934N|0751755W|38.6595574|-75.2985242|||||11|36|Harbeson|10/01/1989|
215406|Pine Lake Development|Populated Place|DE|10|Sussex|005|383955N|0751719W|38.6653907|-75.2885237|||||11|36|Harbeson|10/01/1989|
215407|White Horse Farm|Populated Place|DE|10|Sussex|005|384130N|0751511W|38.6917793|-75.2529663|||||10|33|Harbeson|10/01/1989|
215408|Saint Johns Church|Church|DE|10|Sussex|005|384055N|0751827W|38.6820574|-75.3074135|||||12|39|Harbeson|10/01/1989|
215409|Cabbage Corner|Locale|DE|10|Sussex|005|384050N|0752116W|38.6806689|-75.3543602|||||14|46|Harbeson|10/01/1989|
215410|Lakeview Estates|Populated Place|DE|10|Sussex|005|383435N|0752035W|38.5765028|-75.3429707|||||11|36|Millsboro|10/01/1989|
215411|Sandy Beach|Populated Place|DE|10|Sussex|005|383431N|0751536W|38.5753911|-75.2599115|||||6|20|Millsboro|10/01/1989|
215412|Burton Acres|Populated Place|DE|10|Sussex|005|383435N|0751545W|38.5765022|-75.2624116|||||6|20|Millsboro|10/01/1989|
215413|Oak Drive|Populated Place|DE|10|Sussex|005|383525N|0751819W|38.5903913|-75.3051913|||||8|26|Millsboro|10/01/1989|
215414|Pine Lodge Addition|Populated Place|DE|10|Sussex|005|383538N|0751839W|38.5940025|-75.3107471|||||7|23|Millsboro|10/01/1989|
215415|Woodcrest Estates|Populated Place|DE|10|Sussex|005|383611N|0752605W|38.6031699|-75.4346416|||||15|49|Trap Pond|10/01/1989|
215416|Springfield Farms Addition|Populated Place|DE|10|Sussex|005|384049N|0752229W|38.6803912|-75.374639|||||14|46|Harbeson|10/01/1989|
215417|Greenlea Acres|Populated Place|DE|10|Sussex|005|384152N|0752229W|38.6978911|-75.374639|||||15|49|Harbeson|10/01/1989|
215418|Kings Second Addition|Populated Place|DE|10|Sussex|005|384129N|0752347W|38.6915024|-75.3963068|||||14|46|Georgetown|10/01/1989|
215419|Dunbarton Oaks Apartments|Populated Place|DE|10|Sussex|005|384129N|0752349W|38.6915024|-75.3968623|||||16|52|Georgetown|10/01/1989|
215420|Nanticoke Acres Annex|Locale|DE|10|Sussex|005|383824N|0753450W|38.6401145|-75.5804813|||||8|26|Seaford East|10/01/1989|
215422|The Island|Populated Place|DE|10|Sussex|005|383850N|0753543W|38.6473366|-75.5952042|||||4|13|Seaford East|10/01/1989|
215423|Victor E Hurley Estates|Populated Place|DE|10|Sussex|005|383847N|0753549W|38.6465034|-75.5968709|||||4|13|Seaford East|10/01/1989|
215424|Concord Methodist Church|Church|DE|10|Sussex|005|383823N|0753313W|38.6398367|-75.5535359|||||9|30|Seaford East|10/01/1989|
215425|Meadows|Populated Place|DE|10|Sussex|005|383908N|0753419W|38.6523366|-75.5718699|||||6|20|Seaford East|10/01/1989|
215426|Concord Heights|Populated Place|DE|10|Sussex|005|383911N|0753228W|38.65317|-75.5410354|||||8|26|Seaford East|10/01/1989|
215427|Friedel Property|Populated Place|DE|10|Sussex|005|383925N|0753448W|38.6570588|-75.5799259|||||5|16|Seaford East|10/01/1989|
215428|North Shores Addition|Populated Place|DE|10|Sussex|005|383929N|0753438W|38.65817|-75.577148|||||5|16|Seaford East|10/01/1989|
