FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1609886|Cercadillo|Populated Place|PR|72|Arecibo|013|182716N|0663858W|18.4543901|-66.6493412|||||13|43|Arecibo|02/13/1981|
1609887|Cerrillos|Populated Place|PR|72|Ponce|113|180402N|0663412W|18.067185|-66.5698948|||||130|427|Ponce|02/13/1981|01/29/2011
1609888|Cerrillos|Populated Place|PR|72|Cabo Rojo|023|180806N|0670854W|18.1349576|-67.1482351|||||17|56|Mayaguez|02/13/1981|
1609889|Cerro de la Bandera|Summit|PR|72|Ciales|039|182218N|0662751W|18.3716162|-66.4640599|||||262|860|Ciales|02/13/1981|
1609890|Cerro de la Bandera|Summit|PR|72|Isabela|071|182352N|0665901W|18.3977251|-66.9835117|||||353|1158|Quebradillas|02/13/1981|
1609891|Cerro de la Candelaria|Summit|PR|72|San Germán|125|180850N|0670111W|18.1471802|-67.0196231|||||456|1496|Rosario|02/13/1981|
1609892|Cerro de la Tabla|Summit|PR|72|Guayama|057|180306N|0660730W|18.05163|-66.1248882|||||865|2838|Cayey|02/13/1981|
1609893|Cerro de las Avispas|Summit|PR|72|Patillas|109|180104N|0655823W|18.0177431|-65.972941|||||406|1332|Yabucoa|02/13/1981|
1609894|Cerro de las Avispas|Summit|PR|72|Guayanilla|059|180542N|0664821W|18.094961|-66.8057312|||||697|2287|Yauco|02/13/1981|
1609895|Cerro de las Cuevas|Summit|PR|72|Lajas|079|180313N|0670114W|18.0535733|-67.0204556|||||110|361|San German|02/13/1981|
1609896|Cerro de las Cuevas|Summit|PR|72|Villalba|149|180507N|0662754W|18.0852394|-66.4648938|||||619|2031|Rio Descalabrado|02/13/1981|
